orig,pred
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
ORIG,FAULT
FAULT,FAULT
